TransactionID,StoreID,ProductID,CustomerID,SalesPersonID,DateOfSale,QuantitySold,UnitPrice,TotalSale,Discount,FinalPrice,PaymentMethod,Warranty,CustomerSatisfaction,ReturnStatus
1001,C3,M03,1574.0,11.0,2023-09-21,5,434.82,2174.1,5.55,2168.5499999999997,Cash,No,2,Returned
1002,D4,M02,1863.0,14.0,2023-10-10,7,798.77,5591.389999999999,3.76,5587.629999999999,Mobile Payment,Yes,4,Not Returned
1003,A1,M02,1742.0,,2023-01-27,4,406.72,1626.88,9.27,1617.6100000000001,Mobile Payment,No,2,Not Returned
1004,C3,M04,1240.0,15.0,2023-08-14,6,937.68,5626.08,,5619.01,Mobile Payment,Yes,5,Not Returned
1005,C3,M02,1563.0,16.0,2023-10-04,4,872.57,3490.28,11.67,3478.61,Cash,Yes,2,Not Returned
1006,D4,M02,,13.0,2023-10-13,3,486.09,1458.27,1.55,1456.72,Cheque,No,4,Not Returned
1007,A1,M02,1899.0,16.0,2023-04-07,7,775.78,5430.46,19.49,5410.97,Cash,No,1,Not Returned
1008,A1,M04,1733.0,17.0,2023-10-11,8,779.09,6232.72,19.72,6213.0,Credit Card,No,5,Returned
1009,C3,M02,,10.0,2023-11-13,4,192.81,771.24,13.96,757.28,Mobile Payment,No,1,Returned
1010,B2,M03,1406.0,15.0,2023-10-31,2,912.3,1824.6,10.72,1813.8799999999999,Mobile Payment,No,1,Not Returned
1011,C3,M04,1230.0,17.0,2023-05-27,3,554.73,1664.19,6.19,1658.0,Cash,Yes,1,Not Returned
1012,C3,M03,,14.0,2023-01-04,1,843.81,843.81,16.28,827.53,Cash,No,3,Returned
1013,C3,M04,1654.0,13.0,2023-02-04,8,388.04,3104.32,13.69,3090.63,Credit Card,Yes,3,Not Returned
1014,C3,M02,1170.0,11.0,2023-07-11,3,905.97,2717.91,3.25,2714.66,Credit Card,Yes,1,Not Returned
1015,D4,M03,1540.0,,2023-02-18,7,450.28,3151.96,18.22,3133.7400000000002,Cash,No,5,Returned
1016,A1,M04,1035.0,15.0,2023-01-17,5,109.75,548.75,16.45,532.3,Credit Card,Maybe,4,Not Returned
1017,D4,M01,,10.0,2023-06-21,5,914.84,4574.2,19.0,4555.2,Cash,Yes,4,Not Returned
1018,D4,M02,1159.0,18.0,2023-08-08,7,182.16,1275.12,14.51,1260.61,Credit Card,Yes,2,Not Returned
1019,D4,M04,1838.0,15.0,2023-06-07,9,387.38,3486.42,12.27,3474.15,Cash,Yes,5,Returned
1020,C3,M01,1698.0,12.0,2023-02-15,5,955.06,4775.299999999999,8.36,4766.94,Cash,No,3,Returned
1021,B2,M04,1242.0,13.0,2023-01-06,1,955.55,955.55,18.65,936.9,Cash,Yes,1,Returned
1022,A1,M01,1085.0,13.0,2023-04-09,1,616.09,616.09,17.32,598.77,Credit Card,No,2,Not Returned
1023,B2,M02,1795.0,12.0,2023-08-21,2,668.65,1337.3,0.9,1336.3999999999999,Credit Card,No,4,Not Returned
1024,D4,M03,1577.0,19.0,2023-02-06,6,503.6,3021.6000000000004,,3021.07,Credit Card,Yes,3,Returned
1025,D4,M01,1681.0,12.0,2023-10-07,9,363.89,3275.0099999999998,7.53,3267.4799999999996,Cash,No,3,Not Returned
1026,B2,M04,1556.0,12.0,2023-12-15,8,395.8,3166.4,16.21,3150.19,Credit Card,No,1,Returned Twice
1027,B2,M02,,13.0,2023-10-29,5,705.27,3526.35,19.75,3506.6,Credit Card,No,4,Not Returned
